Volcano Name,Country,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption,year,mo,dy,tsu,eq,vei,deaths,damage_mil,houses_destroyed,total_deaths,total_damage_mil
Darwin,Ecuador,-0.18,-91.28,1330,Shield volcano,Holocene,D3,,,,,,,,,,,
"Tousside, Tarso",Chad,21.03,16.45,3265,Stratovolcano,Holocene,U,,,,,,,,,,,
Markagunt Plateau,United States,37.58,-112.67,2840,Volcanic field,Dendrochronology,D6,,,,,,,,,,,
Galapagos Rift,Pacific Ocean,0.792,-86.15,-2430,Submarine volcano,Historical,D2,,,,,,,,,,,
Galapagos Rift,Pacific Ocean,0.792,-86.15,-2430,Submarine volcano,Historical,D1,,,,,,,,,,,
Malang Plain,Indonesia,-8.02,112.68,680,Maar,Holocene,U,,,,,,,,,,,
Kone,Ethiopia,8.788,39.701,1380,Caldera,Historical,D3,,,,,,,,,,,
Santo Tomas,Philippines,16.33,120.55,2260,Stratovolcano,Uncertain,Unknown,,,,,,,,,,,
Central Bismarck Sea,United States,-3.03,147.78,-1300,Submarine volcano,Hydrophonic,D1,,,,,,,,,,,
Wapi Lava Field,United States,42.88,-113.22,1604,Shield volcano,Radiocarbon,D7,,,,,,,,,,,
Maroa,New Zealand,-38.42,176.08,897,Caldera,Tephrochronology,D6,,,,,,,,,,,
Kulkev,Russia,56.37,158.37,915,Shield volcano,Holocene,U,,,,,,,,,,,
Ungaran,Indonesia,-7.18,110.33,2050,Stratovolcano,Holocene,U,,,,,,,,,,,
Chingo,Guatemala,14.12,-89.73,1775,Stratovolcano,Holocene,U,,,,,,,,,,,
Andrus,Antarctica,-75.8,-132.33,2978,Shield volcano,Holocene,Unknown,,,,,,,,,,,
"Bravo, Cerro",Colombia,5.091,-75.293,3985,Stratovolcano,Radiocarbon,D4,,,,,,,,,,,
"Orizaba, Pico de",Mexico,19.03,-97.27,5564,Stratovolcano,Historical,D5,,,,,,,,,,,
Seguam,United States,52.315,-172.51,1054,Stratovolcano,Historical,D1,,,,,,,,,,,
Falso Azufre,Argentina,-26.8,-68.37,5906,Scoria cone,Holocene,U,,,,,,,,,,,
"Toh, Tarso",Chad,21.33,16.33,2000,Volcanic field,Holocene,U,,,,,,,,,,,
Grimsnes,Iceland,64.05,-20.883,200,Crater rows,Tephrochronology,D7,,,,,,,,,,,
Shiga,Japan,36.688,138.519,2041,Shield volcano,Holocene,U,,,,,,,,,,,
Kita-Ioto,Japan,25.424,141.284,792,Stratovolcano,Historical,D2,,,,,,,,,,,
Iliinsky,Russia,51.498,157.203,1555,Stratovolcano,Historical,D2,,,,,,,,,,,
Bobrof,United States,51.91,-177.438,738,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Submarine Volcano NNE of Iriomotejima,Japan,24.57,123.93,-200,Submarine volcano,Historical,D2,,,,,,,,,,,
Dabbahu,Ethiopia,12.595,40.48,1401,Stratovolcano,Holocene,U,,,,,,,,,,,
Veteran,Vietnam,9.83,109.05,-50,Submarine volcano,Fumarolic,U,,,,,,,,,,,
Ecuador,Ecuador,-0.02,-91.546,790,Shield volcano,Holocene,U,,,,,,,,,,,
Bishoftu Volcanic Field,Ethiopia,8.78,38.98,1850,Fissure vent,Holocene,U,,,,,,,,,,,
Klabat,Indonesia,1.454,125.031,1968,Stratovolcano,Fumarolic,U,,,,,,,,,,,
Unnamed,Russia,52.92,158.52,450,Shield volcano,Holocene,U,,,,,,,,,,,
Eggella,Russia,56.57,158.52,1046,Shield volcano,Holocene,U,,,,,,,,,,,
Unnamed,Taiwan,21.83,121.18,-115,Submarine volcano,Historical,D3,,,,,,,,,,,
Shishel,Russia,57.45,160.37,2525,Shield volcano,Holocene,U,,,,,,,,,,,
Jefferson,United States,44.674,-121.8,3199,Stratovolcano,Varve Count,D6,,,,,,,,,,,
Prestahnukur,Iceland,64.583,-20.666,1385,Subglacial volcano,Radiocarbon,D7,,,,,,,,,,,
Hijiori,Japan,38.599,140.162,552,Caldera,Radiocarbon,D7,,,,,,,,,,,
Makushin,United States,53.891,-166.923,1800,Stratovolcano,Historical,D1,,,,,,,,,,,
Talang,Indonesia,-0.979,100.681,2575,Stratovolcano,Historical,D1,,,,,,,,,,,
Protector Seamounts,Antarctica,-55.912,-28.167,-55,Submarine volcano,Historical,D2,,,,,,,,,,,
Lewotobi Perempuan,Indonesia,-8.575,122.78,1703,Stratovolcano,Historical,D1,,,,,,,,,,,
Espenberg,United States,66.35,-164.33,243,Volcanic field,Tephrochronology,D7,,,,,,,,,,,
Fourpeaked,United States,58.77,-153.672,2105,Stratovolcano,Uncertain,Unknown,,,,,,,,,,,
Udokan Plateau,Russia,56.28,117.77,2180,Shield volcano,Radiocarbon,D7,,,,,,,,,,,
Kyatwa,Uganda,0.45,30.25,1430,Tuff cone,Holocene,Unknown,,,,,,,,,,,
Kazbek,Georgia,42.7,44.5,5050,Stratovolcano,Tephrochronology,D7,,,,,,,,,,,
"Negrillar, El",Chile,-24.18,-68.25,3500,Pyroclastic cone,Holocene,Unknown,,,,,,,,,,,
Mayor Island,New Zealand,-37.28,176.25,355,Shield volcano,Radiocarbon,D7,,,,,,,,,,,
Karang,Indonesia,-6.268,106.05,1768,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Hainan Volcanic Field,China,19.905,110.229,196,Pyroclastic cones,Historical,D2,,,,,,,,,,,
"Lunayyir, Harrat",Saudi Arabia,25.17,37.75,1370,Volcanic field,Historical,D6,,,,,,,,,,,
Zuni-Bandera,United States,34.8,-108,2550,Volcanic field,Anthropology,D7,,,,,,,,,,,
Moekeshiwan [Lvinaya Past],Russia,44.608,146.994,528,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
Callaqui,Chile,-37.92,-71.45,3164,Stratovolcano,Historical,D1,,,,,,,,,,,
Malindig,Philippines,13.24,122.018,1157,Stratovolcano,Hot Springs,U,,,,,,,,,,,
Kaikata Seamount,Japan,26.667,140.929,-165,Submarine volcano,Fumarolic,U,,,,,,,,,,,
Tomariyama [Golovnin],Russia,43.844,145.504,535,Caldera,Historical,D3,,,,,,,,,,,
Barkhatnaya Sopka,Russia,52.802,158.24,874,Lava dome,Tephrochronology,D7,,,,,,,,,,,
Musuan,Philippines,7.877,125.068,646,Tuff cone,Historical,D3,,,,,,,,,,,
"Ithnayn, Harrat",Saudi Arabia,26.58,40.2,1625,Volcanic field,Holocene,U,,,,,,,,,,,
Great Sitkin,United States,52.076,-176.13,1740,Stratovolcano,Historical,D1,,,,,,,,,,,
Romanche Fracture Zone,Atlantic Ocean,-0.433,-19.596,-1528,Submarine volcano,Historical,D3,,,,,,,,,,,
"Casiri, Nevados",Peru,-17.47,-69.813,5650,Stratovolcano,Holocene,U,,,,,,,,,,,
Tskhouk-Karckar,Armenia,39.742,45.992,3139,Pyroclastic cones,Tephrochronology,D7,,,,,,,,,,,
Taunshits,Russia,54.528,159.804,2301,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
Kendang,Indonesia,-7.245,107.709,2594,Stratovolcano,Holocene,U,,,,,,,,,,,
Gareloi,United States,51.79,-178.794,1573,Stratovolcano,Historical,D1,,,,,,,,,,,
Fukue,Japan,32.657,128.849,315,Shield volcanoes,Tephrochronology,D7,,,,,,,,,,,
Zengyu,Taiwan,26.18,122.458,-418,Submarine volcano,Historical,D2,,,,,,,,,,,
Dariganga Volcanic Field,Mongolia,45.754,114.279,1778,Cinder cone,Holocene,U,,,,,,,,,,,
Tromen Volcanic Plateau,Argentina,-37.144,-70.033,4114,Pyroclastic cone,Holocene,U,,,,,,,,,,,
Fukutoku-Oka-no-Ba,Japan,24.285,141.481,-29,Submarine volcano,Historical,D1,,,,,,,,,,,
Penguin Island,Antarctica,-62.1,-57.93,180,Stratovolcano,Lichenometry,D2,,,,,,,,,,,
Hobicha Caldera,Ethiopia,6.78,37.83,1800,Caldera,Holocene,Unknown,,,,,,,,,,,
Tungnafellsjokull,Iceland,64.75,-17.916,1523,Stratovolcano,Holocene,U,,,,,,,,,,,
Santa Cruz,Ecuador,-0.62,-90.33,864,Shield volcano,Holocene,U,,,,,,,,,,,
Ostry,Russia,58.18,160.82,2552,Stratovolcano,Holocene,U,,,,,,,,,,,
Leutongey,Russia,57.306,159.827,1318,Shield volcano,Holocene,U,,,,,,,,,,,
Curtis Island,New Zealand,-30.543,-178.556,47,Submarine volcano,Uncertain,Unknown,,,,,,,,,,,
Lake Turkana South Island,Kenya,2.63,36.6,800,Stratovolcano,Historical,D3,,,,,,,,,,,
"Watt, Morne",Dominica,15.307,-61.305,1224,Stratovolcanoes,Historical,D2,,,,,,,,,,,
Chichinautzin,Mexico,19.08,-99.13,3930,Volcanic field,Radiocarbon,D6,,,,,,,,,,,
"Rahah, Harrat ar",Saudi Arabia,27.8,36.17,1950,Volcanic field,Anthropology,U,,,,,,,,,,,
"Chillan, Nevados de",Chile,-36.868,-71.378,3180,Stratovolcano,Historical,D1,,,,,,,,,,,
Waesche,Antarctica,-77.17,-126.88,3292,Shield volcano,Holocene,Unknown,,,,,,,,,,,
Acamarachi,Chile,-23.292,-67.618,6023,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Telica,Nicaragua,12.606,-86.84,1036,Stratovolcano,Historical,D1,,,,,,,,,,,
Bely,Russia,57.88,160.53,2080,Shield volcano,Holocene,U,,,,,,,,,,,
Anaun,Russia,56.32,158.83,1828,Stratovolcano,Holocene,U,,,,,,,,,,,
Unnamed,Taiwan,20.93,134.75,-6000,Submarine volcano,Uncertain,Unknown,,,,,,,,,,,
Tepi,Ethiopia,7.42,35.43,2728,Shield volcano,Holocene,U,,,,,,,,,,,
Caburgua-Huelemolle,Chile,-39.25,-71.75,1652,Cinder cone,Tephrochronology,D7,,,,,,,,,,,
Rudakov,Russia,45.874,149.819,532,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Methana,Greece,37.615,23.336,760,Lava dome,Historical,D7,,,,,,,,,,,
Santo Antao,Cape Verde,17.07,-25.17,1979,Stratovolcano,Holocene,U,,,,,,,,,,,
Krummel-Garbuna-Welcker,Papua New Guinea,-5.416,150.027,564,Stratovolcano,Holocene,U,,,,,,,,,,,
Tavui,Papua New Guinea,-4.12,152.2,200,Caldera,Radiocarbon,D7,,,,,,,,,,,
Hargy,Papua New Guinea,-5.33,151.1,1148,Stratovolcano,Radiocarbon,D6,,,,,,,,,,,
Guazapa,El Salvador,13.9,-89.12,1438,Stratovolcano,Holocene,U,,,,,,,,,,,
Ngauruhoe,New Zealand,-39.158,175.63,2291,Stratovolcano,Historical,D1,,,,,,,,,,,
Supply Reef,United States,20.13,145.1,-8,Submarine volcano,Hydrophonic,D1,,,,,,,,,,,
Wrangell,United States,62.006,-144.017,4278,Shield volcano,Historical,D2,,,,,,,,,,,
Kambalny,Russia,51.306,156.875,2116,Stratovolcano,Holocene,U,,,,,,,,,,,
Ayelu,Ethiopia,10.082,40.702,2145,Stratovolcano,Holocene,U,,,,,,,,,,,
Prince Edward Island,Indian Ocean,-46.63,37.95,672,Shield volcano,Holocene,U,,,,,,,,,,,
Kristnitokugigar,Iceland,63.98,-21.42,301,Crater rows,Historical,Unknown,,,,,,,,,,,
Unnamed,Pacific Ocean,9.82,-104.3,-2500,Submarine volcano,Historical,D1,,,,,,,,,,,
Apo,Philippines,6.989,125.269,2938,Stratovolcano,Fumarolic,U,,,,,,,,,,,
Unnamed,New Zealand,-29.18,-177.87,-560,Submarine volcano,Historical,D3,,,,,,,,,,,
Lavic Lake,United States,34.75,-116.625,1495,Volcanic field,Holocene,U,,,,,,,,,,,
Medicine Lake,United States,41.611,-121.554,2412,Shield volcano,Radiocarbon,D6,,,,,,,,,,,
"Tujle, Cerro",Chile,-23.83,-67.95,3550,Stratovolcano,Holocene,U,,,,,,,,,,,
Leroboleng,Indonesia,-8.365,122.833,1095,Complex volcano,Historical,D3,,,,,,,,,,,
Kookooligit Mountains,United States,63.6,-170.43,673,Shield volcano,Holocene,U,,,,,,,,,,,
Chiginagak,United States,57.135,-156.99,2221,Stratovolcano,Historical,D1,,,,,,,,,,,
Spokoiny,Russia,58.13,160.82,2171,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
"Lajas, Las",Nicaragua,12.3,-85.73,926,Shield volcano,Holocene,Unknown,,,,,,,,,,,
Puyuhuapi,Chile,-44.3,-72.53,524,Stratovolcano,Holocene,U,,,,,,,,,,,
Iwakisan,Japan,40.656,140.303,1625,Stratovolcano,Historical,D3,,,,,,,,,,,
Fremrinamar,Iceland,65.416,-16.666,970,Stratovolcano,Tephrochronology,D7,,,,,,,,,,,
CoAxial Segment,Pacific Ocean,46.52,-129.58,-2400,Submarine,,D1,,,,,,,,,,,
Arjuno-Welirang,Indonesia,-7.733,112.575,3343,Stratovolcano,Historical,D2,,,,,,,,,,,
Hachimantai,Japan,39.958,140.854,1613,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Concepcion,Nicaragua,11.538,-85.622,1700,Stratovolcano,Historical,D1,,,,,,,,,,,
"Diablotins, Morne",Dominica,15.503,-61.397,1430,Stratovolcano,Holocene,U,,,,,,,,,,,
Bir Borhut,Yemen,15.515,50.935,464,Volcanic field,Holocene,Unknown,,,,,,,,,,,
Besar,Indonesia,-4.43,103.67,1899,Stratovolcano,Historical,D2,,,,,,,,,,,
Mageik,United States,58.195,-155.253,2165,Stratovolcano,Historical,D2,,,,,,,,,,,
Segererua Plateau,Kenya,1.57,37.9,699,Pyroclastic cone,Holocene,U,,,,,,,,,,,
Tshibinda,"Congo, DRC",-2.32,28.75,1460,Cinder cone,Holocene,U,,,,,,,,,,,
St. Michael,United States,63.45,-162.12,715,Shield volcano,Anthropology,U,,,,,,,,,,,
Maipo,Argentina,-34.164,-69.832,5323,Caldera,Historical,D2,,,,,,,,,,,
Balhaf-Bir Ali Volcanic Field,Yemen,14.067,48.3,604,Volcanic field,Holocene,U,,,,,,,,,,,
"Zacate Grande, Isla",Honduras,13.33,-87.63,640,Stratovolcano,Holocene,U,,,,,,,,,,,
Eagle Lake Field,United States,40.63,-120.83,1652,Fissure vent,Holocene,Unknown,,,,,,,,,,,
Unnamed,Antarctica,-76.83,163,-500,Submarine volcano,Holocene,Unknown,,,,,,,,,,,
Nisyros,Greece,36.586,27.16,698,Stratovolcano,Historical,D3,,,,,,,,,,,
Kurikomayama,Japan,38.961,140.788,1627,Stratovolcano,Historical,D2,,,,,,,,,,,
Mundua,Papua New Guinea,-4.624,149.339,171,Complex volcano,Holocene,U,,,,,,,,,,,
Bud Dajo,Philippines,5.95,121.07,440,Pyroclastic cone,Historical,D3,,,,,,,,,,,
Nosy-Be,Madagascar,-13.32,48.48,214,Cinder cone,Holocene,U,,,,,,,,,,,
Edziza,Canada,57.72,-130.63,2786,Stratovolcano,Radiocarbon,D6,,,,,,,,,,,
Perbakti-Gagak,Indonesia,-6.75,106.675,1726,Stratovolcano,Fumarolic,U,,,,,,,,,,,
Cinnamon Butte,United States,43.241,-122.108,1956,Cinder cone,Holocene,Unknown,,,,,,,,,,,
Yokoatejima,Japan,28.797,128.997,495,Stratovolcano,Holocene,U,,,,,,,,,,,
Moyuta,Guatemala,14.03,-90.1,1662,Stratovolcano,Hot Springs,U,,,,,,,,,,,
Igwisi Hills,Tanzania,-4.889,31.933,1146,Tuff cone,Holocene,U,,,,,,,,,,,
Inyo Craters,United States,37.692,-119.02,2629,Lava dome,Radiocarbon,D6,,,,,,,,,,,
Ulleungdo,South Korea,37.5,130.87,984,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
"Azul, Cerro",Chile,-35.653,-70.761,3788,Stratovolcano,Historical,D1,,,,,,,,,,,
Chimborazo,Ecuador,-1.469,-78.817,6261,Stratovolcano,Radiocarbon,D6,,,,,,,,,,,
Tianshan Volc Group,China,42.5,82.5,0,Volcanic field,Historical,D6,,,,,,,,,,,
Unnamed,United States,57.87,-155.411,402,Lava dome,Holocene,U,,,,,,,,,,,
Zimina,Russia,55.862,160.603,3057,Stratovolcano,Holocene,U,,,,,,,,,,,
Bridgeman Island,Antarctica,-62.063,-56.713,240,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Trident,United States,58.236,-155.1,1864,Stratovolcano,Historical,D1,,,,,,,,,,,
Zitacuaro-Valle de Bravo,Mexico,19.4,-100.25,3500,Stratovolcano,Radiocarbon,D6,,,,,,,,,,,
Durango Volcanic Field,Mexico,24.15,-104.45,2075,Cinder cone,Holocene,U,,,,,,,,,,,
Honggeertu,China,41.59,113.111,1605,Cinder cone,Holocene,Unknown,,,,,,,,,,,
Garua Harbour,Papua New Guinea,-5.3,150.07,565,Volcanic field,Holocene,Unknown,,,,,,,,,,,
Chacana,Ecuador,-0.375,-78.25,4643,Caldera,Historical,D4,,,,,,,,,,,
Ozernoy,Russia,51.88,157.38,562,Shield volcano,Holocene,U,,,,,,,,,,,
Kaitoku Seamount,Japan,26.127,141.102,-95,Submarine volcano,Historical,D1,,,,,,,,,,,
Ingakslugwat Hills,United States,61.43,-164.47,190,Cinder cone,Holocene,U,,,,,,,,,,,
Niijima,Japan,34.397,139.27,432,Lava dome,Historical,D6,,,,,,,,,,,
Seamount X,United States,13.25,144.02,-1230,Submarine volcano,Fumarolic,U,,,,,,,,,,,
Kamen,Russia,56.02,160.593,4585,Stratovolcano,Holocene,U,,,,,,,,,,,
Dofan,Ethiopia,9.35,40.13,1151,Stratovolcano,Holocene,U,,,,,,,,,,,
Beru,Ethiopia,8.95,39.75,1100,Volcanic field,Holocene,U,,,,,,,,,,,
Ambre-Bobaomby,Madagascar,-12.6,49.15,1475,Volcanic field,Holocene,U,,,,,,,,,,,
Puesto Cortaderas,Argentina,-37.567,-69.617,970,Pyroclastic cone,Holocene,U,,,,,,,,,,,
Iliamna,United States,60.032,-153.09,3053,Stratovolcano,Historical,D2,,,,,,,,,,,
Tenchozan,Japan,44.044,145.086,1046,Crater rows,,?,,,,,,,,,,,
Nakanoshima,Japan,29.859,129.857,979,Stratovolcano,Historical,D2,,,,,,,,,,,
Izumbwe-Mpoli,Tanzania,-8.93,33.4,1568,Pyroclastic cone,Holocene,U,,,,,,,,,,,
Alney-Chashakondzha,Russia,56.656,159.647,2570,Stratovolcano,Holocene,U,,,,,,,,,,,
St. Catherine,Grenada,12.15,-61.67,840,Stratovolcano,Holocene,U,,,,,,,,,,,
Maly Semyachik,Russia,54.135,159.674,1527,Caldera,Historical,D2,,,,,,,,,,,
Toba,Indonesia,2.58,98.83,2157,Caldera,Holocene,U,,,,,,,,,,,
Antipodes Island,New Zealand,-49.683,178.767,402,Pyroclastic cones,Holocene?,?,,,,,,,,,,,
Ormus Islands,Indian Ocean,26,57,0,Submarine volcano,Holocene,D2,,,,,,,,,,,
Wolf,Ecuador,0.02,-91.35,1710,Shield volcano,Historical,D1,,,,,,,,,,,
Thordarhyrna,Iceland,62.27,-17.6,1659,Stratovolcano,Historical,D2,,,,,,,,,,,
Unnamed,Solomon Is.,-8.92,158.03,-240,Submarine volcanoes,Holocene,U,,,,,,,,,,,
Soche,Ecuador,0.552,-77.58,3955,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
Kurile Lake,Russia,51.45,157.12,81,Caldera,Radiocarbon,D7,,,,,,,,,,,
Haleakala,United States,20.708,-156.25,3055,Shield volcano,Historical,D4,,,,,,,,,,,
Coleman Seamount,Solomon Is.,-8.841,157.16,-717,Submarine volcano,Holocene,U,,,,,,,,,,,
Shisheika,Russia,57.153,161.09,355,Lava dome,Radiocarbon,D7,,,,,,,,,,,
"Ojos del Salado, Nevados",Argentina,-27.109,-68.541,6879,Stratovolcano,Holocene,U,,,,,,,,,,,
Whangarei,New Zealand,-35.75,174.27,397,Cinder cone,Holocene,Unknown,,,,,,,,,,,
Oddnyjarhnjukur-Langjokull,Iceland,64.85,-19.7,1100,Stratovolcano,Radiocarbon,D6,,,,,,,,,,,
Vernadskii Ridge,Russia,50.55,155.97,1183,Cinder cone,Holocene,U,,,,,,,,,,,
Qal'eh Hasan Ali,Iran,29.4,57.57,0,Maar,Holocene,Unknown,,,,,,,,,,,
Sarik-Gajah,Indonesia,0.074,100.189,737,Pyroclastic cone,Holocene,Unknown,,,,,,,,,,,
Ol Kokwe,Kenya,0.62,36.075,1130,Shield volcano,Holocene,U,,,,,,,,,,,
Crater Mountain,Papua New Guinea,-6.58,145.08,3233,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Heidarspordar,Iceland,65.583,-16.817,490,Fissure vent,,D7,,,,,,,,,,,
Bakening,Russia,53.905,158.07,2278,Stratovolcano,Historical,D1,,,,,,,,,,,
Koryaksky,Russia,53.321,158.712,3430,Stratovolcano,Historical,D2,,,,,,,,,,,
Utila Island,Honduras,16.1,-86.9,74,Pyroclastic cone,Holocene,U,,,,,,,,,,,
Rishirizan,Japan,45.179,141.242,1721,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
Unnamed,United States,21.75,-158.75,-3000,Submarine volcano,Uncertain,Unknown,,,,,,,,,,,
Unnamed,Taiwan,25.42,122.33,-100,Submarine volcano,Historical,D3,,,,,,,,,,,
Esmeralda Bank,United States,15,145.25,-43,Submarine volcano,Fumarolic,U,,,,,,,,,,,
Río Murta,Chile,-46.167,-72.667,,Pyroclastic cones,Holocene?,?,,,,,,,,,,,
Tombel Graben,Cameroon,4.758,9.717,500,Cinder cones,Holocene,U,,,,,,,,,,,
Nylgimelkin,Russia,57.97,160.65,1764,Shield volcano,Holocene,U,,,,,,,,,,,
East Blanco Depression,Pacific Ocean,44.267,-129.879,-3000,Submarine,,Unknown,,,,,,,,,,,
Poas,Costa Rica,10.2,-84.233,2697,Stratovolcano,Historical,D1,,,,,,,,,,,
Tupungatito,Chile,-33.425,-69.797,5660,Stratovolcano,Historical,D1,,,,,,,,,,,
Ranau,Indonesia,-4.871,103.925,1854,Caldera,Holocene,Unknown,,,,,,,,,,,
Kasuga 2,United States,21.6,143.637,-274,Submarine volcano,Uncertain,Unknown,,,,,,,,,,,
Tondano Caldera,Indonesia,1.23,124.83,1202,Caldera,Fumarolic,U,,,,,,,,,,,
Poco Leok,Indonesia,-8.68,120.48,1675,Unknown,Fumarolic,U,,,,,,,,,,,
Tanaga,United States,51.885,-178.146,1806,Stratovolcano,Historical,D2,,,,,,,,,,,
"Khaybar, Harrat",Saudi Arabia,25.5,40,2093,Volcanic field,Historical,D6,,,,,,,,,,,
Rumble V,New Zealand,-36.142,178.196,-400,Submarine volcano,Fumarolic,U,,,,,,,,,,,
Jan Mayen,Jan Mayen,71.082,-8.155,2197,Stratovolcano,Historical,D1,,,,,,,,,,,
Aguilera,Chile,-50.33,-73.75,2546,Stratovolcano,Radiocarbon,D7,,,,,,,,,,,
Etorofu-Atosanupuri [Atosanupuri],Russia,44.808,147.131,1206,Stratovolcano,Historical,D2,,,,,,,,,,,
Hollister Ridge,Pacific Ocean,-53.998,-139.845,-1000,Submarine volcano,Uncertain,?,,,,,,,,,,,
Madeira,Portugal,32.73,-16.97,1862,Shield volcano,Radiocarbon,D7,,,,,,,,,,,
Krasheninnikov,Russia,54.596,160.27,1816,Caldera,Radiocarbon,D5,,,,,,,,,,,
Karpinsky Group,Russia,50.148,155.373,1326,Cone,Historical,D2,,,,,,,,,,,
Kawi-Butak,Indonesia,-7.92,112.45,2651,Stratovolcano,Holocene,U,,,,,,,,,,,
Mayotte,France,-12.83,45.17,660,Shield,,D1,,,,,,,,,,,
Squaw Ridge Field,United States,43.472,-120.754,1711,Volcanic field,Holocene,Unknown,,,,,,,,,,,
Berlin,Antarctica,-76.05,-136,3478,Shield volcano,Fumarolic,U,,,,,,,,,,,
Bolshe-Bannaya,Russia,52.9,157.78,1200,Lava dome,Holocene,U,,,,,,,,,,,
Meidob Volcanic Field,Sudan,15.32,26.47,2000,Scoria cone,Holocene,D7,,,,,,,,,,,
Tore,Papua New Guinea,-5.835,154.935,2175,Lava cone,Holocene,U,,,,,,,,,,,
Elbrus,Russia,43.351,42.442,5642,Stratovolcano,Tephrochronology,D6,,,,,,,,,,,
Brimstone Island,New Zealand,-30.23,-178.92,-2000,Submarine volcano,Uncertain,Unknown,,,,,,,,,,,
Tacora,Chile,-17.72,-69.77,5980,Stratovolcano,Fumarolic,U,,,,,,,,,,,
Jumaytepeque,Guatemala,14.34,-90.271,1802,Volcanic field,Holocene,U,,,,,,,,,,,
Belenkaya,Russia,51.75,157.27,892,Stratovolcano,Holocene,U,,,,,,,,,,,
Samsari Volcanic Center,Georgia,41.542,43.7,3290,Lava cone,Holocene,U,,,,,,,,,,,
Agua de Pau,Portugal,37.77,-25.47,947,Stratovolcano,Historical,D5,,,,,,,,,,,
Prevo Peak,Russia,47.02,152.12,1360,Stratovolcano,Historical,D3,,,,,,,,,,,
Gorely,Russia,52.559,158.03,1799,Caldera,Historical,D1,,,,,,,,,,,
Chaine des Puys,France,45.786,2.981,1464,Cinder cone,Radiocarbon,D7,,,,,,,,,,,
Segula,United States,52.015,178.136,1160,Stratovolcano,Holocene,U,,,,,,,,,,,
Manda Hararo,Ethiopia,12.17,40.82,600,Shield volcano,Holocene,U,,,,,,,,,,,
Soda Lakes,United States,39.53,-118.87,1251,Lava dome,Pleistocene-Fumarol,Q,,,,,,,,,,,
Unnamed,Ethiopia,8.013,39.062,1886,Fissure vent,Holocene,U,,,,,,,,,,,
Tat Ali,Ethiopia,13.284,41.063,655,Shield volcano,Holocene,U,,,,,,,,,,,
Pinacate,Mexico,31.85,-113.5,1183,Cinder cone,Holocene,U,,,,,,,,,,,
Hunter Island,Pacific Ocean,-22.4,172.05,297,Stratovolcano,Historical,D2,,,,,,,,,,,
Isarog,Philippines,13.658,123.38,1966,Stratovolcano,Holocene,U,,,,,,,,,,,
Es Safa,Syria,33.08,37.15,979,Volcanic field,Historical,D3,,,,,,,,,,,
Forecast Seamount,United States,13.4,143.92,-1456,Submarine volcano,Fumarolic,U,,,,,,,,,,,
Kasuga 1,Japan,21.765,143.71,-598,Submarine volcano,Uncertain,Unknown,,,,,,,,,,,
Malinao,Philippines,13.422,123.597,1548,Stratovolcano,Fumarolic,U1,,,,,,,,,,,
Menengai,Kenya,-0.2,36.07,2278,Shield volcano,Tephrochronology,D7,,,,,,,,,,,
Kikhpinych,Russia,54.489,160.251,1515,Stratovolcano,Radiocarbon,D5,,,,,,,,,,,
Rapa Nui,Chile,-27.114,-109.356,501,Shield volcanoes,Holocene,U,,,,,,,,,,,
Flores,Guatemala,14.308,-89.992,1600,Volcanic field,Holocene,U,,,,,,,,,,,
Dzenzursky,Russia,53.637,158.922,2285,Compound volcano,Holocene,U,,,,,,,,,,,
Wilis,Indonesia,-7.808,111.758,2563,Stratovolcano,Holocene,U,,,,,,,,,,,
Melimoyu,Chile,-44.08,-72.88,2400,Cinder cone,Holocene,U,,,,,,,,,,,
Cordon del Azufre,Argentina,-25.336,-68.521,5481,Complex volcano,Holocene,U,,,,,,,,,,,
Saunders,Antarctica,-57.8,-26.483,843,Stratovolcano,Historical,D3,,,,,,,,,,,
Plosky,Russia,57.83,160.25,1255,Shield volcano,Holocene,U,,,,,,,,,,,
Hutapanjang,Indonesia,-2.33,101.6,2021,Stratovolcano,Holocene,U,,,,,,,,,,,
Ushishur,Russia,47.52,152.8,401,Caldera,Historical,D3,,,,,,,,,,,
Kverkfjoll,Iceland,64.653,-16.647,1930,Stratovolcano,Historical,D1,,,,,,,,,,,
Camiguin de Babuyanes,Philippines,18.83,121.86,712,Stratovolcano,Historical,D3,,,,,,,,,,,
Nemrut Dagi,Turkey,38.654,42.229,2948,Stratovolcano,Historical,D6,,,,,,,,,,,
Cay,Chile,-45.059,-72.984,2090,Stratovolcano,Holocene,Unknown,,,,,,,,,,,
Trindade,Atlantic Ocean,-20.514,-29.331,600,Stratovolcano,Holocene,U,,,,,,,,,,,
